,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,arrival,departure
40060,32102.0,OIFV,small_airport,Zarrinshahr Airport,32.32740021,51.37730026,5650.0,AS,IR,IR-04,Zarrinshahr,no,OIFV,,,,,,0,0
40061,5159.0,OIGG,medium_airport,Sardar-e-Jangal Airport,37.323333,49.617778,-40.0,AS,IR,IR-19,Rasht,yes,OIGG,RAS,,http://rasht.airport.ir/HomePage.aspx?site=rasht.airport&lang=fa-IR&tabid=0,https://en.wikipedia.org/wiki/Rasht_Airport,,56,48
40062,5160.0,OIHH,medium_airport,Hamadan Airport,34.86920166,48.55250168,5755.0,AS,IR,IR-24,Hamadan,no,OIHH,HDM,,,,,0,0
40063,42513.0,OIHM,small_airport,Malayer Airport,34.28333282,48.81666565,5662.0,AS,IR,IR-24,Malayer,no,OIHM,,,,,,0,0
40064,5161.0,OIHR,small_airport,Arak Airport,34.13809967,49.84730148,5440.0,AS,IR,IR-22,Araak,no,OIHR,AJK,,,,,0,0
40065,5162.0,OIHS,medium_airport,Hamadan Air Base,35.21160126,48.65340042,5609.0,AS,IR,IR-24,Hamadan,no,OIHS,,,,,,0,0
40066,5163.0,OIIA,small_airport,Ghazvin Azadi Airport,35.95209885,50.45080185,3769.0,AS,IR,IR-28,,no,OIIA,,,,,,0,0
40067,330558.0,OIIB,small_airport,Eyvanekey Airport,35.360351,51.98659,3363.0,AS,IR,IR-12,Eyvanekey,no,OIIB,,,http://bpkh.co.ir/index.php/en/homepage/91-box/28-boland-parvaz-khavar-eyvanaki-airport,,Aflak Asia,0,0
40068,5164.0,OIIC,small_airport,Kushke Nosrat Airport,34.98400116,50.80619812,3008.0,AS,IR,IR-26,,no,OIIC,,OI1B,,,,0,0
40069,5165.0,OIID,small_airport,Doshan Tappeh Air Base,35.70299911,51.47510147,4046.0,AS,IR,IR-07,,no,OIID,,,,,,0,0
40070,5166.0,OIIE,large_airport,Imam Khomeini International Airport,35.41609955,51.15219879,3305.0,AS,IR,IR-07,Tehran,yes,OIIE,IKA,,http://www.ikia.ir/,https://en.wikipedia.org/wiki/Imam_Khomeini_International_Airport,Ahmadabad,0,1
40071,5167.0,OIIG,medium_airport,Ghale Morghi Airport,35.64479828,51.38069916,3627.0,AS,IR,IR-07,,no,OIIG,,,,,,0,0
40072,5168.0,OIII,large_airport,Mehrabad International Airport,35.68920135,51.31340027,3962.0,AS,IR,IR-07,Tehran,yes,OIII,THR,,,https://en.wikipedia.org/wiki/Mehrabad_International_Airport,,1886,1272
40073,5169.0,OIIK,medium_airport,Qazvin Airport,36.240101,50.0471,4184.0,AS,IR,IR-28,Qazvin,no,OIIK,GZW,,,https://en.wikipedia.org/wiki/Qazvin_Airport,Ghazvin,0,0
40074,5170.0,OIIM,medium_airport,Naja Airport,35.77629852,50.88100052,4040.0,AS,IR,IR-07,,no,OIIM,,,,,,0,0
40075,5171.0,OIIP,medium_airport,Payam International Airport,35.77610016,50.8266983,4170.0,AS,IR,IR-U-A,Karaj,yes,OIIP,PYK,,,https://en.wikipedia.org/wiki/Payam_International_Airport,,0,0
40076,42514.0,OIIQ,small_airport,Ghom Airport,34.6333313,50.8833313,,AS,IR,IR-26,Ghom,no,OIIQ,,,,,,0,0
40077,32103.0,OIIS,small_airport,Semnan Municipal Airport,35.591099,53.495098,3665.0,AS,IR,IR-12,Semnan,yes,OIIS,SNX,,,https://en.wikipedia.org/wiki/Semnan_Municipal_Airport,,0,0
40078,42515.0,OIIU,small_airport,Damghan Airport,36.16669846,54.34389877,3887.0,AS,IR,IR-12,,no,OIIU,,,,,,0,0
40079,5172.0,OIKB,medium_airport,Bandar Abbas International Airport,27.21829987,56.37779999,22.0,AS,IR,IR-23,Bandar Abbas,yes,OIKB,BND,,,https://en.wikipedia.org/wiki/Bandar_Abbas_International_Airport,,136,163
40080,42516.0,OIKF,closed,Baft Airport,29.2342,56.606899,7385.0,AS,IR,IR-15,,no,OIKF,,,,,,0,0
40081,5173.0,OIKJ,medium_airport,Jiroft Airport,28.7269001,57.67029953,2663.0,AS,IR,IR-15,Jiroft,no,OIKJ,JYR,,,https://en.wikipedia.org/wiki/Jiroft_Airport,Sabzevaran,0,4
40082,5174.0,OIKK,medium_airport,Kerman Airport,30.27440071,56.9510994,5741.0,AS,IR,IR-15,Kerman,yes,OIKK,KER,,,https://en.wikipedia.org/wiki/Kerman_Airport,,136,132
40083,5175.0,OIKM,medium_airport,Bam Airport,29.08419991,58.45000076,3231.0,AS,IR,IR-15,,yes,OIKM,BXR,,,https://en.wikipedia.org/wiki/Bam_Airport,,0,8
40084,5176.0,OIKP,small_airport,Havadarya Airport,27.1583004,56.17250061,19.0,AS,IR,IR-23,Havadarya,no,OIKP,HDR,,,,,0,0
40085,5177.0,OIKQ,medium_airport,Dayrestan Airport,26.75460052,55.90240097,45.0,AS,IR,IR-23,,no,OIKQ,,,,https://en.wikipedia.org/wiki/Dayrestan_Airport,,0,22
40086,5178.0,OIKR,medium_airport,Rafsanjan Airport,30.29770088,56.05110168,5298.0,AS,IR,IR-15,,yes,OIKR,RJN,,,https://en.wikipedia.org/wiki/Rafsanjan_Airport,,0,0
40087,5179.0,OIKY,medium_airport,Sirjan Airport,29.55089951,55.67269897,5846.0,AS,IR,IR-15,,no,OIKY,SYJ,,,,,0,18
40088,5180.0,OIMB,medium_airport,Birjand Airport,32.89810181,59.26610184,4952.0,AS,IR,IR-29,Birjand,yes,OIMB,XBJ,,,https://en.wikipedia.org/wiki/Birjand_Airport,,13,13
40089,5181.0,OIMC,medium_airport,Sarakhs Airport,36.50120163,61.06489944,945.0,AS,IR,IR-30,Sarakhs,no,OIMC,CKT,,,,,0,4
40090,42517.0,OIMD,small_airport,Gonabad Airport,34.34999847,58.68000031,,AS,IR,IR-30,Gonabad,no,OIMD,,,,,"Gulnabad, Goonabad, Juymand, گناباد",0,0
